"id","comment","id_user","id_product"
"1","Nullam varius. Nulla facilisi.","421","1581"
"2","Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.","291","1306"
"3","Quisque porta volutpat erat.","974","1447"
"4","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","54","1755"
"5","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","628","9"
"6","Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.","737","516"
"7","Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.","364","541"
"8","Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.","374","1245"
"9","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.","140","101"
"10","Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.","835","483"
"11","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.","683","622"
"12","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.","894","1473"
"13","Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","341","1473"
"14","Sed ante. Vivamus tortor.","41","188"
"15","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.","195","988"
"16","Aliquam quis turpis eget elit sodales scelerisque.","276","1372"
"17","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.","848","1055"
"18","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.","307","1941"
"19","Pellentesque ultrices mattis odio.","286","1638"
"20","Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.","837","87"
"21","Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.","707","437"
"22","In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.","665","1771"
"23","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.","508","120"
"24","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","809","1185"
"25","In hac habitasse platea dictumst.","691","1491"
"26","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","856","1876"
"27","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.","404","1520"
"28","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.","962","1959"
"29","Vivamus vestibulum sagittis sapien.","892","340"
"30","Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.","545","1344"
"31","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.","52","1872"
"32","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.","503","794"
"33","Ut at dolor quis odio consequat varius. Integer ac leo.","297","632"
"34","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.","804","1441"
"35","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","538","344"
"36","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.","242","326"
"37","In sagittis dui vel nisl. Duis ac nibh.","377","903"
"38","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","184","1465"
"39","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.","498","422"
"40","Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.","220","1248"
"41","Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.","536","147"
"42","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.","12","57"
"43","Morbi porttitor lorem id ligula.","900","1957"
"44","In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.","651","457"
"45","Nam tristique tortor eu pede.","377","1646"
"46","Maecenas pulvinar lobortis est. Phasellus sit amet erat.","258","254"
"47","Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.","808","974"
"48","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","368","1549"
"49","Aenean fermentum. Donec ut mauris eget massa tempor convallis.","166","13"
"50","In sagittis dui vel nisl.","961","1605"
"51","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","271","1782"
"52","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.","987","413"
"53","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","412","909"
"54","Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.","554","1062"
"55","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.","728","1790"
"56","Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.","210","1444"
"57","Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.","553","460"
"58","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.","620","401"
"59","Proin interdum mauris non ligula pellentesque ultrices.","710","520"
"60","Morbi non lectus.","498","1655"
"61","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.","366","1657"
"62","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.","521","1729"
"63","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.","493","766"
"64","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.","859","882"
"65","Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.","740","1115"
"66","Nulla nisl.","106","1320"
"67","Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.","788","839"
"68","Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.","21","163"
"69","Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","831","304"
"70","Mauris lacinia sapien quis libero.","200","133"
"71","Fusce consequat. Nulla nisl. Nunc nisl.","17","1790"
"72","Ut tellus. Nulla ut erat id mauris vulputate elementum.","196","564"
"73","Curabitur convallis.","858","233"
"74","In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.","956","1496"
"75","Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.","779","1000"
"76","Phasellus sit amet erat. Nulla tempus.","258","1524"
"77","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","208","1314"
"78","Suspendisse potenti.","735","972"
"79","Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.","597","30"
"80","Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.","984","83"
"81","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","919","1251"
"82","Nullam varius. Nulla facilisi.","27","1170"
"83","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","971","863"
"84","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","320","247"
"85","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","124","1050"
"86","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","454","1509"
"87","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.","272","1039"
"88","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","540","1615"
"89","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","711","1455"
"90","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.","551","311"
"91","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.","893","490"
"92","Duis ac nibh.","651","1603"
"93","Nam nulla.","117","246"
"94","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","429","853"
"95","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.","875","1134"
"96","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","423","195"
"97","Nulla justo.","812","182"
"98","Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","732","1845"
"99","In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.","394","419"
"100","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.","115","584"
"101","Vestibulum sed magna at nunc commodo placerat. Praesent blandit.","445","46"
"102","Nullam sit amet turpis elementum ligula vehicula consequat.","917","897"
"103","Mauris ullamcorper purus sit amet nulla.","95","1676"
"104","Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","458","733"
"105","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.","532","483"
"106","Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","985","1091"
"107","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.","275","1393"
"108","Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.","24","1464"
"109","Mauris lacinia sapien quis libero.","271","446"
"110","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","508","1342"
"111","Fusce consequat. Nulla nisl.","414","1702"
"112","Pellentesque ultrices mattis odio. Donec vitae nisi.","226","436"
"113","Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.","721","1075"
"114","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.","685","90"
"115","Etiam vel augue.","832","1958"
"116","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.","941","786"
"117","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.","142","382"
"118","Suspendisse potenti. In eleifend quam a odio.","185","399"
"119","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.","965","1941"
"120","Suspendisse ornare consequat lectus.","871","1786"
"121","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","348","1469"
"122","Pellentesque ultrices mattis odio. Donec vitae nisi.","166","1280"
