"id","name","price","description","color","size","stock","promo","fidelityPoint","createAt","updateAt","id_category","id_user"
"1","Pie Filling - Apple","87.39","Morbi non lectus. Aliquam sit amet diam in magna b","Mauv","L","64","5577817005","40","2021-12-25 00:00:00","2021-01-07 00:00:00","131","52"
"2","Cheese - Brie, Cups 125g","53.99","Praesent blandit. Nam nulla. Integer pede justo, l","Maroon","L","10","7720463870","29","2021-05-11 00:00:00","2021-07-09 00:00:00","11","69"
"3","Apple - Delicious, Red","26.79","Quisque porta volutpat erat. Quisque erat eros, vi","Blue","S","41","8481484008","40","2020-05-03 00:00:00","2020-12-25 00:00:00","68","66"
"4","Cheese - Valancey","13.45","Praesent id massa id nisl venenatis lacinia. Aenea","Blue","3XL","90","6740318379","46","2020-03-30 00:00:00","2020-05-18 00:00:00","136","11"
"5","Artichoke - Bottom, Canned","94.03","Aenean lectus. Pellentesque eget nunc. Donec quis ","Turquoise","3XL","63","6151688678","12","2021-07-27 00:00:00","2021-04-20 00:00:00","134","87"
"6","Chips - Miss Vickies","4.30","In hac habitasse platea dictumst. Morbi vestibulum","Crimson","3XL","28","7728249908","30","2020-02-03 00:00:00","2020-08-11 00:00:00","120","32"
"7","Calaloo","102.42","Fusce posuere felis sed lacus. Morbi sem mauris, l","Mauv","3XL","14","6318228837","50","2020-06-28 00:00:00","2020-03-31 00:00:00","9","67"
"8","Wine - Lamancha Do Crianza","57.84","In hac habitasse platea dictumst. Etiam faucibus c","Puce","L","47","3522745698","31","2021-09-06 00:00:00","2020-07-17 00:00:00","115","7"
"9","Turnip - White","90.62","Donec diam neque, vestibulum eget, vulputate ut, u","Aquamarine","3XL","43","0504269992","18","2021-09-17 00:00:00","2021-01-02 00:00:00","154","24"
"10","Beans - Black Bean, Canned","43.45","In hac habitasse platea dictumst. Etiam faucibus c","Green","2XL","96","5364914186","10","2021-03-30 00:00:00","2020-11-11 00:00:00","10","7"
"11","Cake - Mini Potato Pancake","73.45","In quis justo. Maecenas rhoncus aliquam lacus. Mor","Pink","2XL","50","1756277214","21","2021-09-15 00:00:00","2020-05-21 00:00:00","25","87"
"12","Ham - Virginia","34.31","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Blue","2XL","17","9147779292","27","2021-12-12 00:00:00","2021-01-16 00:00:00","9","54"
"13","Sauce - Salsa","63.41","Vestibulum ac est lacinia nisi venenatis tristique","Purple","L","36","7573811292","48","2020-08-04 00:00:00","2021-06-13 00:00:00","124","11"
"14","Arctic Char - Fresh, Whole","55.96","Curabitur gravida nisi at nibh. In hac habitasse p","Puce","M","71","3105256946","35","2021-09-04 00:00:00","2021-01-31 00:00:00","43","96"
"15","Soup - Campbells","95.47","Sed ante. Vivamus tortor. Duis mattis egestas metu","Aquamarine","L","86","9415893966","43","2020-09-20 00:00:00","2020-05-31 00:00:00","3","68"
